,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,id,dust
12,0.0899554400676,0.0854624554995,0.143255635398,0.107639814014,0.0323535213465,0.0364674342563,0.0276396663321,0.183497933975,0.161179648283,0.137004606534,0.116053271617,0.109310252971,0.157117317514,0.0759091188267,0.161365789845,0.0584155158654,0.153584404838,0.133274305194,0.059415325412,0.018433326457,0.0323915046437,0.00110073569378,301.14119564,298.316171782,298.719958934,295.604338703,248.852160223,272.338672464,246.524996447,260.060196157,291.739925977,275.783651305,294.177791103,292.801747788,271.066161211,259.636347902,250.425137128,230.793197754,34.52,-45.74,18.07,-98.91,2,0.0
13,0.0899554400676,0.0854624554995,0.143255635398,0.107639814014,0.0323535213465,0.0364674342563,0.0276396663321,0.183497933975,0.161179648283,0.137004606534,0.116053271617,0.109310252971,0.157117317514,0.0759091188267,0.161365789845,0.0584155158654,0.153584404838,0.133274305194,0.059415325412,0.018433326457,0.0323915046437,0.00110073569378,301.14119564,298.316171782,298.719958934,295.604338703,248.852160223,272.338672464,246.524996447,260.060196157,291.739925977,275.783651305,294.177791103,292.801747788,271.066161211,259.636347902,250.425137128,230.793197754,34.52,-45.74,18.07,-98.91,2,0.0
14,0.0718468330706,0.0630913146233,0.124284538189,0.0865748181532,0.0547160070855,0.0652402398846,0.0447881474865,0.166149569558,0.141575692582,0.11570397462,0.0952031878995,0.0893177862256,0.0722129053553,0.0759091188267,0.0727279674492,0.0584155158654,0.0677066061491,0.133274305194,0.0450358182121,0.0143990741727,0.0239192733978,-0.000324316940882,302.765164989,300.912527951,299.193140204,295.164318579,248.867373656,271.573405867,247.129444346,260.607207851,291.2673343,276.475699904,293.826457229,292.498368683,271.147680728,259.255845855,250.393986974,231.181501014,34.52,-45.74,18.07,-98.91,2,0.0
15,0.0420397454473,0.0298869047401,0.104102519883,0.0637902307935,0.0270897878218,0.0270223687839,0.020952650284,0.149755700094,0.122118619666,0.0943968996843,0.0730217009067,0.0661838762773,0.0419704365444,0.0759091188267,0.0415836112956,0.0584155158654,0.0359257447082,0.0309092356471,0.0212831659816,0.00775646911832,0.0118308458885,0.00112573661719,300.892298063,298.451565254,298.64625413,295.473021446,249.116937124,272.333672633,246.479318088,260.607207851,292.260874757,275.845047899,294.192406874,292.806715379,271.238920606,259.613495365,250.4166425,230.955386819,34.48,-45.78,18.07,-97.48,3,0.0
16,0.0899554400676,0.0834367222706,0.137824837744,0.102249556046,0.0726529334279,2.38963803195,0.0581324595114,0.178340312121,0.154932233829,0.130799976004,0.111493600942,0.104650445552,0.157117317514,0.0759091188267,0.161365789845,0.0584155158654,0.153584404838,0.133274305194,0.0602092859323,0.0183985484201,0.0317715852842,-0.000224313247221,303.235685329,298.720491312,299.481479103,295.631203453,248.795018956,271.943448223,244.865085426,260.688932983,291.35724805,275.329809317,293.767797527,292.388780798,271.000907933,259.450542315,250.592066042,231.064942407,34.48,-45.78,18.07,-97.48,3,0.0
17,0.207581258968,0.216195644898,0.227176136974,0.2030771422,0.169344700851,0.171360473571,0.12764770634,0.252991864799,0.24072157244,0.420188325187,0.335246459422,0.262656983695,0.157117317514,0.0759091188267,0.161365789845,0.0584155158654,0.153584404838,0.133274305194,0.155925637539,0.0443081859358,0.0808743645474,-0.00224938804384,306.876936161,300.284462877,300.953597229,296.094119665,248.962227642,271.5605579,246.426717782,260.529769236,290.36931421,274.663876672,292.908927689,291.66919967,270.912762792,259.633491578,250.067800233,230.764546666,34.48,-45.78,18.07,-97.48,3,0.0
18,0.0620713903554,0.0536378928882,0.129935503315,0.0918327998515,0.0254469665306,0.0284810661542,0.0194369266464,0.170771334596,0.146559915086,0.121522023809,0.100266632787,0.09258810915,0.0655394696342,0.0759091188267,0.0661363598546,0.0584155158654,0.062056936894,0.0569689942237,0.0366551238318,0.0124167260675,0.0207938466273,0.000850726459626,300.839429695,298.451565254,298.761152983,295.560631233,249.116937124,272.468356526,246.063326849,260.465508915,292.120703096,275.916080482,294.387107775,293.114340198,271.225890342,259.624922188,250.518535104,302.523674522,34.48,-45.78,18.07,-97.48,3,0.0
19,0.0356296190766,0.0230757437384,0.0966902149776,0.0555229639722,0.0202502869361,0.0161186059413,0.0141467539506,0.143660328812,0.115861413026,0.0874577646053,0.0658043642351,0.0594619933206,0.0355692384538,0.035484643652,0.034992003701,0.0584155158654,0.0292681311259,0.0239794488424,0.0164311850245,0.00678268408417,0.00950614829061,0.00022570337425,300.36264668,298.451565254,298.519047375,295.604338703,248.718606284,272.674120261,246.293738456,259.914586454,292.39397238,275.958024977,294.503771554,293.173797559,270.978061364,259.921631002,250.600547248,230.907713594,34.48,-45.78,18.07,-97.48,3,0.0
20,0.0505865806081,0.040221080053,0.108285701859,0.0683868311462,0.0272909496125,2.38963803195,0.0223792137076,0.153355988076,0.126946167199,0.0996028617491,0.0771290029014,0.0703926046715,0.0504965336623,0.0759091188267,0.0506693406828,0.0584155158654,0.0457320068082,0.0418178767451,0.0282744294515,0.00998226348209,0.0154212121787,0.0004757126084,301.050306545,299.382238756,298.802289363,295.718345364,249.165772678,272.681529393,246.493027549,260.35228544,291.993987048,275.948347408,294.430870441,293.054855996,271.000907933,259.690604895,250.249448938,230.776485697,34.44,-45.82,18.07,-98.94,4,0.0
21,0.0377129101471,0.0254831368511,0.099442308383,0.0582015584223,0.0164282129117,2.38963803195,0.0112936271034,0.145485591091,0.118152784471,0.0901251758613,0.0675624334243,0.0610770173264,0.0371930275065,0.0759091188267,0.0366893921432,0.0584155158654,0.0312439846086,0.0262927837474,0.0178426703939,0.00692179623191,0.00994525783689,0.000700720919136,300.12840196,299.382238756,298.412122804,295.607698135,249.203267398,272.495713138,246.114141703,260.261063937,292.277951412,276.025735576,294.605756261,293.203516185,271.216116768,259.513463256,250.209738784,230.613982782,34.44,-45.82,18.07,-98.94,4,0.0
